feature,gain,split
EXT_SOURCES_MEAN,630312.097773981,1627.9
EXT_SOURCES_NANMEDIAN,288492.9973562717,1361.8
EXT_SOURCES_MIN,232531.10052156448,1376.2
ORGANIZATION_TYPE,184313.90880188943,7139.4
EXT_SOURCES_MAX,131637.63081612586,1076.7
CREDIT_TO_ANNUITY_RATIO,93319.7019165516,2343.1
CREDIT_TO_GOODS_RATIO,69311.76816387176,1193.3
EXT_SOURCE_3,68934.858665514,1511.2
BUREAU_CONSUMER_DAYS_CREDIT_ENDDATE_MAX,47220.258629846576,1319.7
OCCUPATION_TYPE,38374.45525331497,1059.0
DAYS_BIRTH,37413.41075019837,1481.3
DAYS_EMPLOYED,37052.9628083229,952.5
AMT_ANNUITY,34614.18821992874,1190.7
EXT_SOURCE_1,34572.93860602379,1225.4
BUREAU_ACTIVE_DEBT_CREDIT_DIFF_MEAN,32856.99305462837,924.2
LAST_LOAN_LATE_PAYMENT_mean,32057.801878547667,511.2
EXT_SOURCES_PROD,31360.0765311718,803.0
LAST_LOAN_DPD_mean,31324.530840682983,422.7
CURRENT_TO_APPROVED_ANNUITY_MAX_RATIO,30150.439721727373,799.2
EXT_SOURCE_2,29517.247608852387,1074.2
PREV_LAST24M_SIMPLE_INTERESTS_MAX,28824.356057453155,833.4
CURRENT_TO_APPROVED_ANNUITY_MEAN_RATIO,27743.86234574318,848.1
NAME_EDUCATION_TYPE,27187.108143806458,343.7
BUREAU_CREDIT_DEBT_CREDIT_DIFF_MEAN,26584.338204956053,936.4
EMPLOYED_TO_BIRTH_RATIO,26473.087808942793,869.1
CODE_GENDER,26347.336943626404,530.7
BUREAU_DEBT_CREDIT_DIFF_MEAN,26219.233036708833,756.8
EXT_SOURCES_WEIGHTED,25356.493480682373,638.9
BUREAU_DEBT_OVER_CREDIT,24217.836400079726,588.0
PREV_LAST24M_DAYS_LAST_DUE_1ST_VERSION_MEAN,24171.983299922944,755.3
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,23928.34818506241,528.6
AMT_GOODS_PRICE,23794.616306972504,854.9
BUREAU_ACTIVE_DEBT_PERCENTAGE_MEAN,23781.85856795311,646.8
PREV_Cash_SIMPLE_INTERESTS_MEAN,22972.50143876076,689.1
LAST_LOAN_DPD_std,22273.971839618684,387.3
PREV_LAST24M_DAYS_LAST_DUE_1ST_VERSION_MAX,21512.47522792816,699.9
INS_36M_DPD_7_MEAN,21401.182778072358,442.3
INS_SIGNIFICANT_LATE_PAYMENT_SUM,21283.411123991013,555.4
GROUP_CREDIT_TO_ANNUITY_MEAN,20981.859001922607,817.3
DAYS_ID_PUBLISH,20698.738650655745,983.6
ANNUITY_TO_INCOME_RATIO,20607.27809844017,874.8
PAYMENT_MEAN_TO_ANNUITY_RATIO,20250.204058408737,671.1
AMT_CREDIT,19585.08075222969,761.3
PREV_Cash_SIMPLE_INTERESTS_MAX,19441.890779590605,567.6
GROUP_EXT_SOURCES_STD,18401.91051197052,776.5
INCOME_TO_EMPLOYED_RATIO,18114.184034585953,764.5
BUREAU_LAST12M_DEBT_CREDIT_DIFF_MEAN,17922.118243026733,720.4
PREV_DAYS_TERMINATION_MAX,17787.936230373383,826.8
BUREAU_LAST12M_DEBT_PERCENTAGE_MEAN,17782.7230111599,583.4
BUREAU_ACTIVE_DAYS_CREDIT_MAX,17759.89109134674,734.2
GROUP_EXT_SOURCES_MEDIAN,17374.601499795914,740.4
EXT_SOURCES_VAR,17299.861813020707,593.2
PREV_Cash_DAYS_LAST_DUE_1ST_VERSION_MAX,17190.625067710876,590.5
DAYS_REGISTRATION,17168.815137052537,881.5
DAYS_LAST_PHONE_CHANGE,17106.19016432762,843.3
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,16875.876544952393,416.1
PHONE_TO_BIRTH_RATIO,16754.273830032347,861.8
BUREAU_CLOSED_DAYS_CREDIT_UPDATE_MAX,16518.07538075447,867.5
OWN_CAR_AGE,16465.662532186507,510.4
BUREAU_ACTIVE_DEBT_OVER_CREDIT,16206.261469984054,636.9
24_TREND_DPD,15737.952955198289,543.7
BUREAU_DEBT_CREDIT_DIFF_SUM,15600.836111688614,532.6
REGION_POPULATION_RELATIVE,15581.246301698684,820.2
APPROVED_APPLICATION_CREDIT_DIFF_MAX,15423.438046550751,448.0
BUREAU_CREDIT_DEBT_PERCENTAGE_MEAN,15409.964680576324,495.7
60_TREND_DPD,15319.629503583908,525.6
PREV_Cash_DAYS_LAST_DUE_1ST_VERSION_MEAN,15226.645166015625,571.3
INS_DAYS_ENTRY_PAYMENT_MIN,15223.114381122588,484.8
PREV_Cash_CNT_PAYMENT_MEAN,15102.671494197846,461.6
BUREAU_CLOSED_ENDDATE_DIF_MEAN,15068.811065864564,762.9
CC_LAST_AMT_BALANCE_MEAN,14987.947040081024,403.4
CAR_TO_EMPLOYED_RATIO,14943.574167966843,552.8
BUREAU_ACTIVE_CREDIT_TO_INCOME_RATIO,14928.681643772125,684.6
POS_MONTHS_BALANCE_SIZE,14840.514726877213,538.7
PREV_Consumer_AMT_ANNUITY_MAX,14756.368277692794,622.8
CAR_TO_BIRTH_RATIO,14670.60654296875,587.7
ID_TO_BIRTH_RATIO,14651.288438940048,713.0
INS_36M_DPD_MEAN,14633.89380311966,416.7
CC_LAST_AMT_BALANCE_MAX,14289.285560035705,372.1
120_TREND_DPD,14176.503633117676,535.6
BUREAU_DAYS_CREDIT_MAX,14115.143761539459,593.8
PREV_CNT_PAYMENT_MEAN,14094.270126867294,478.4
CREDIT_TO_INCOME_RATIO,14034.657907390594,662.9
BUREAU_CONSUMER_DAYS_CREDIT_MAX,13990.530915784835,685.4
PREV_LAST24M_APPLICATION_CREDIT_RATIO_MIN,13989.264123296738,454.5
PREV_Consumer_AMT_CREDIT_SUM,13923.11904296875,630.5
INS_LATE_PAYMENT_SUM,13742.308033514022,458.7
BUREAU_CREDIT_DAYS_CREDIT_MAX,13613.96429157257,660.9
BUREAU_CLOSED_DAYS_CREDIT_ENDDATE_MAX,13590.284262609483,666.1
GROUP_INCOME_MEAN,13571.121020936966,672.1
PREV_Cash_SIMPLE_INTERESTS_MIN,13460.95130314827,614.8
PAYMENT_MAX_TO_ANNUITY_RATIO,13387.834170722961,464.1
INS_AMT_PAYMENT_SUM,13385.42612900734,402.7
PREV_LAST24M_DAYS_LAST_DUE_1ST_VERSION_MIN,13292.798358869553,558.2
BUREAU_CLOSED_DAYS_CREDIT_VAR,13011.490950489044,613.6
BUREAU_CREDIT_DAYS_CREDIT_MEAN,12981.121683263778,636.8
NAME_FAMILY_STATUS,12866.228586959838,472.7
PREV_APPLICATION_CREDIT_DIFF_MAX,12802.736598157882,389.1
APPROVED_AMT_DOWN_PAYMENT_MAX,12786.034296274185,454.1
BUREAU_LAST12M_AMT_CREDIT_SUM_SUM,12784.80108332634,545.2
PREV_ACTIVE_REMAINING_DEBT_SUM,12767.742095899583,543.0
BUREAU_CREDIT_AMT_CREDIT_SUM_DEBT_MAX,12739.38453950882,585.9
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MIN,12719.320974636077,684.8
PREV_Consumer_AMT_ANNUITY_MEAN,12618.603267908096,604.8
BUREAU_CLOSED_DAYS_CREDIT_MAX,12510.61389322281,633.6
BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM,12242.62226037979,564.7
REFUSED_DAYS_DECISION_MAX,12067.18357386589,472.9
INS_60M_DAYS_ENTRY_PAYMENT_MIN,11865.1708132267,469.3
INS_60M_LATE_PAYMENT_RATIO_MEAN,11516.316011953353,325.7
INCOME_TO_BIRTH_RATIO,11512.681988859176,603.9
YEARS_BEGINEXPLUATATION_MEDI,11470.229730939865,607.1
BUREAU_DAYS_CREDIT_ENDDATE_MAX,11444.743224954605,565.8
12_TREND_DPD,11429.361841535569,490.1
BUREAU_DAYS_CREDIT_MEAN,11420.706406641006,496.3
INS_36M_AMT_PAYMENT_MIN,11400.522728204727,487.3
BUREAU_CONSUMER_AMT_CREDIT_SUM_MEAN,11381.929351234436,549.8
